	set	iteration	count	mcd_mean	mcd_std	mcd_min	mcd_25%	mcd_50%	mcd_75%	mcd_max	pen_mean	pen_std	pen_min	pen_25%	pen_50%	pen_75%	pen_max
0	full	10000	223.0	49.192503505146576	3.446973679807566	38.74556546384695	46.88093881774533	48.99656703470932	51.35604598569205	60.912523861881006	0.6478323871314028	0.09451203475733436	0.37834978312594353	0.5819883121955693	0.6513570913786985	0.7271505446471809	0.8325839401096365
1	full	20000	223.0	52.66810158799602	2.668151722550412	45.18418400707221	51.18172815257418	52.74231404629948	54.31418409398139	59.25495792780905	0.4397911277276306	0.07622711105377061	0.30978784611325877	0.3857885592529652	0.42271027992786436	0.4846204380578705	0.6874729700269798
2	full	30000	223.0	33.73746896198842	2.6377154402666037	26.64482728528876	31.76580138155773	33.71630245990358	35.41461370462346	42.0766805363827	0.20973146832156153	0.03821757065611053	0.10325497546775136	0.1845101684715212	0.20510547286410233	0.2288908183724717	0.3523927648578811
3	full	40000	223.0	32.88341321711834	2.7681702071525915	25.42155902644964	30.741227432477746	32.76718384564007	34.707573750469315	41.881146318648995	0.20034648158686955	0.04023333615529617	0.11885215491545358	0.1721990530481714	0.1960685657849173	0.22435630564603792	0.37005270174561516
4	full	50000	223.0	32.22531521655871	2.7325674292071667	25.308431407616627	30.315000167406833	32.125282353504524	33.878409335722054	39.40853959066847	0.19523308688761334	0.04110546233308307	0.1054244306418219	0.16746084015821922	0.1890683935246391	0.21933962909137467	0.3744077841662981
5	full	60000	223.0	32.66701112719994	2.6851861504745025	26.251031763216076	30.814363289269796	32.73721121697065	34.334001169989705	40.99834596238642	0.18753457584657235	0.03865567585595038	0.09137522132029736	0.1610307460138887	0.18129242420484318	0.20780292077429613	0.3453388988272709
6	full	70000	223.0	32.712332316543744	2.837100552322752	26.077467871790947	30.75154277939296	32.60954819665701	34.59337004069804	41.866010527105466	0.1843753887844617	0.03894898053426124	0.10712191413638596	0.1552626918935429	0.18352601246152056	0.20676461023838794	0.3587830080367394
7	full	80000	223.0	32.071781129991486	2.668641025518652	26.365287506183705	30.316470252406432	31.800511294512415	33.7618615318103	39.7203919313875	0.18270563436226286	0.03946287258255152	0.08631680976349826	0.15656683005926458	0.1763439778948601	0.20542619090144332	0.38048862313263476
8	full	90000	223.0	33.060979798028036	3.0157741247753886	25.828888955865068	31.063884845190366	32.88363907079228	35.194456377394474	43.295041586843524	0.18863772948182408	0.03755620159968194	0.07651304559811879	0.16217902422232117	0.18675128871748195	0.2133695198248031	0.37683957631874304
9	full	100000	223.0	32.15771758745344	2.8729900943952758	25.458316123881175	30.130575608528943	32.0876581668	34.01167751670276	42.46538719381159	0.18293901484477676	0.03748083088947239	0.10317868520325367	0.15500467495845427	0.1771410900927879	0.20363588710530078	0.32434725079134674
10	full	110000	223.0	31.910354552504952	2.747457353779691	24.83697277846831	30.061010601349615	31.92536510465449	33.64312040334281	42.30915700176835	0.1773686401193412	0.035978506817301414	0.11485234854049114	0.15012712784739518	0.17276226438260242	0.19892627083807418	0.32505958525669126
11	full	120000	223.0	32.38682943473209	2.7943790131445105	26.034455832555864	30.49402454247715	32.21077749809558	34.330681531881936	42.9290340208731	0.18227500196520804	0.03574670293892985	0.10202846651393827	0.15876639081531208	0.1782926775416367	0.20350414691942725	0.31919023687930487
12	full	130000	223.0	32.10121678006941	2.721140693549127	25.220321292189976	30.046358846015316	32.122354152081925	33.62585588204212	40.774043275378716	0.18597529442171143	0.03851898934240191	0.11066799114042657	0.15785416820816517	0.1842470642756435	0.20477480003363907	0.3590029325513197
13	full	140000	223.0	31.501648264621	2.825589321982527	25.047182569110877	29.566453839184764	31.421682537006646	33.375509666066826	41.05015843062798	0.1852694335481343	0.03752849192844853	0.08408078408078401	0.1579861704721134	0.1806526009246634	0.20787603247356318	0.32720975443241374
14	full	150000	223.0	32.2752152014115	2.392874171081777	26.960260098203367	30.54741053971085	32.27765424961149	34.00631804619109	39.40984170523779	0.18466194851660675	0.03715155263429146	0.11540214017334206	0.15680091545735647	0.18095029950497266	0.20546164314972587	0.3614172494172494
