	SYMBOL	TRAIN_OCCURRENCES_COUNT	VAL_OCCURRENCES_COUNT	TEST_OCCURRENCES_COUNT	REST_OCCURRENCES_COUNT	TOTAL_OCCURRENCES_COUNT	TRAIN_OCCURRENCES_PERCENT	VAL_OCCURRENCES_PERCENT	TEST_OCCURRENCES_PERCENT	REST_OCCURRENCES_PERCENT	TRAIN_OCCURRENCES_DISTRIBUTION_PERCENT	VAL_OCCURRENCES_DISTRIBUTION_PERCENT	TEST_OCCURRENCES_DISTRIBUTION_PERCENT	REST_OCCURRENCES_DISTRIBUTION_PERCENT	TOTAL_OCCURRENCES_DISTRIBUTION_PERCENT	TRAIN_UTTERANCE_OCCURRENCES_COUNT	VAL_UTTERANCE_OCCURRENCES_COUNT	TEST_UTTERANCE_OCCURRENCES_COUNT	REST_UTTERANCE_OCCURRENCES_COUNT	TOTAL_UTTERANCE_OCCURRENCES_COUNT	TRAIN_UTTERANCE_OCCURRENCES_PERCENT	VAL_UTTERANCE_OCCURRENCES_PERCENT	TEST_UTTERANCE_OCCURRENCES_PERCENT	REST_UTTERANCE_OCCURRENCES_PERCENT	TRAIN_UNIFORM_OCCURRENCES_COUNT	VAL_UNIFORM_OCCURRENCES_COUNT	TEST_UNIFORM_OCCURRENCES_COUNT	REST_UNIFORM_OCCURRENCES_COUNT	TOTAL_UNIFORM_OCCURRENCES_COUNT	UNIFORM_OCCURRENCES_PERCENT
41	all	0	25149	0	873414	898563	0.0	2.7988020873327746	0.0	97.20119791266723	0	100.0	0	100.0	100.0	0	6970	0	279822	286792	0.0	2.4303327847359757	0.0	97.56966721526402	0.0	25149.0	0.0	873414.0	898563.0	100.0
0	(' ',)	0	4464	0	155101	159565	0.0	2.7976059912888163	0.0	97.20239400871118	0	17.75020875581534	0	17.7580162443011	17.75779772815039	0	223	0	9846	10069	0.0	2.2147184427450592	0.0	97.78528155725495	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
30	('ə',)	0	1802	0	63895	65697	0.0	2.742895413793628	0.0	97.25710458620637	0	7.165294842737286	0	7.315545663339493	7.311340440236244	0	221	0	9696	9917	0.0	2.2284965211253405	0.0	97.77150347887466	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
20	('t',)	0	1432	0	51705	53137	0.0	2.694920676741254	0.0	97.30507932325875	0	5.694063382241839	0	5.919873049893864	5.913553084202221	0	221	0	9663	9884	0.0	2.235936867664913	0.0	97.76406313233508	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
16	('n',)	0	1428	0	49337	50765	0.0	2.8129616862011226	0.0	97.18703831379888	0	5.6781581772635095	0	5.648753054107216	5.649576045307897	0	221	0	9659	9880	0.0	2.236842105263158	0.0	97.76315789473684	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
33	('ɪ',)	0	1064	0	37632	38696	0.0	2.7496382054992763	0.0	97.25036179450072	0	4.230784524235556	0	4.308609662771606	4.30643149116979	0	221	0	9336	9557	0.0	2.3124411426179763	0.0	97.68755885738203	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
7	('d',)	0	1046	0	35960	37006	0.0	2.8265686645408854	0.0	97.17343133545911	0	4.159211101833074	0	4.117176963043871	4.118353415397697	0	220	0	9398	9618	0.0	2.2873778332293617	0.0	97.71262216677064	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
19	('s',)	0	957	0	32466	33423	0.0	2.8632977291086976	0.0	97.1367022708913	0	3.8053202910652515	0	3.717137577368808	3.7196056370004107	0	216	0	9218	9434	0.0	2.2895908416366333	0.0	97.71040915836336	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
34	('ɹ',)	0	843	0	29498	30341	0.0	2.778418641442273	0.0	97.22158135855773	0	3.3520219491828698	0	3.3773216367037855	3.3766135485213615	0	215	0	9169	9384	0.0	2.291133844842285	0.0	97.70886615515772	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
23	('w',)	0	717	0	25428	26145	0.0	2.742398164084911	0.0	97.25760183591508	0	2.851007992365502	0	2.9113341439454827	2.909645734355855	0	206	0	8744	8950	0.0	2.3016759776536313	0.0	97.69832402234637	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
